time	Mid
5.000686E-04	0.000000E+00
7.035862E-04	0.000000E+00
9.071038E-04	0.000000E+00
1.110621E-03	0.000000E+00
1.314139E-03	0.000000E+00
1.517657E-03	0.000000E+00
1.721174E-03	0.000000E+00
1.924692E-03	0.000000E+00
2.128209E-03	0.000000E+00
2.331727E-03	0.000000E+00
2.535245E-03	0.000000E+00
2.738762E-03	0.000000E+00
2.942280E-03	0.000000E+00
3.145797E-03	0.000000E+00
3.349315E-03	0.000000E+00
3.552833E-03	0.000000E+00
3.756350E-03	0.000000E+00
3.959868E-03	0.000000E+00
4.163385E-03	0.000000E+00
4.366903E-03	0.000000E+00
4.570420E-03	0.000000E+00
4.773938E-03	0.000000E+00
4.977456E-03	0.000000E+00
5.180973E-03	0.000000E+00
5.384491E-03	0.000000E+00
5.588008E-03	0.000000E+00
5.791526E-03	0.000000E+00
5.995044E-03	0.000000E+00
6.198561E-03	0.000000E+00
6.402079E-03	0.000000E+00
6.605596E-03	0.000000E+00
6.809114E-03	0.000000E+00
7.012632E-03	-4.154257E-01
7.216149E-03	-3.788648E-01
7.419667E-03	-3.134873E-01
7.623184E-03	-2.188341E-01
7.826702E-03	-9.517292E-02
8.030220E-03	5.654861E-02
8.233737E-03	2.347649E-01
8.437255E-03	4.373644E-01
8.640772E-03	6.617692E-01
8.844290E-03	9.050196E-01
9.047808E-03	1.163861E+00
9.251325E-03	1.434832E+00
9.454843E-03	1.714346E+00
9.658360E-03	1.998778E+00
9.861878E-03	2.284532E+00
1.006540E-02	2.568121E+00
1.026891E-02	2.846220E+00
1.047243E-02	3.115724E+00
1.067595E-02	3.373795E+00
1.087947E-02	3.617895E+00
1.108298E-02	3.845816E+00
1.128650E-02	4.055701E+00
1.149002E-02	4.246054E+00
1.169354E-02	4.415743E+00
1.189705E-02	4.563997E+00
1.210057E-02	4.690396E+00
1.230409E-02	4.794855E+00
1.250761E-02	4.877602E+00
1.271112E-02	4.939151E+00
1.291464E-02	4.980276E+00
1.311816E-02	5.001980E+00
1.332168E-02	5.005456E+00
1.352519E-02	4.992057E+00
1.372871E-02	4.963260E+00
1.393223E-02	4.920628E+00
1.413575E-02	4.865782E+00
1.433927E-02	4.800363E+00
1.454278E-02	4.726003E+00
1.474630E-02	4.644298E+00
1.494982E-02	4.556782E+00
1.515334E-02	4.464904E+00
1.535685E-02	4.370010E+00
1.556037E-02	4.273323E+00
1.576389E-02	4.175937E+00
1.596741E-02	4.078804E+00
1.617092E-02	3.982728E+00
1.637444E-02	3.888363E+00
1.657796E-02	3.796216E+00
1.678148E-02	3.706645E+00
1.698499E-02	3.619873E+00
1.718851E-02	3.535988E+00
1.739203E-02	3.454961E+00
1.759555E-02	3.376652E+00
1.779906E-02	3.300829E+00
1.800258E-02	3.227179E+00
1.820610E-02	3.155324E+00
1.840962E-02	3.084839E+00
1.861313E-02	3.015267E+00
1.881665E-02	2.946133E+00
1.902017E-02	2.876961E+00
1.922369E-02	2.807288E+00
1.942720E-02	2.736675E+00
1.963072E-02	2.664724E+00
1.983424E-02	2.591085E+00
2.003776E-02	2.515463E+00
2.024128E-02	2.437632E+00
2.044479E-02	2.357434E+00
2.064831E-02	2.274785E+00
2.085183E-02	2.189681E+00
2.105535E-02	2.102190E+00
2.125886E-02	2.012458E+00
2.146238E-02	1.920701E+00
2.166590E-02	1.827204E+00
2.186942E-02	1.732311E+00
2.207293E-02	1.636420E+00
2.227645E-02	1.539977E+00
2.247997E-02	1.443459E+00
2.268349E-02	1.347375E+00
2.288700E-02	1.252245E+00
2.309052E-02	1.158598E+00
2.329404E-02	1.066958E+00
2.349756E-02	9.778306E-01
2.370107E-02	8.917004E-01
2.390459E-02	8.090161E-01
2.410811E-02	7.301845E-01
2.431163E-02	6.555623E-01
2.451514E-02	5.854505E-01
2.471866E-02	5.200888E-01
2.492218E-02	4.596520E-01
2.512570E-02	4.042475E-01
2.532922E-02	3.539145E-01
2.553273E-02	3.086244E-01
2.573625E-02	2.682824E-01
2.593977E-02	2.327311E-01
2.614329E-02	2.017546E-01
2.634680E-02	1.750842E-01
2.655032E-02	1.524055E-01
2.675384E-02	1.333651E-01
2.695736E-02	1.175800E-01
2.716087E-02	1.046457E-01
2.736439E-02	9.414559E-02
2.756791E-02	8.566041E-02
2.777143E-02	7.877753E-02
2.797494E-02	7.309973E-02
2.817846E-02	6.825395E-02
2.838198E-02	6.389891E-02
2.858550E-02	5.973206E-02
2.878901E-02	5.549538E-02
2.899253E-02	5.098005E-02
2.919605E-02	4.602968E-02
2.939957E-02	4.054219E-02
2.960308E-02	3.446995E-02
2.980660E-02	2.781899E-02
3.001012E-02	2.064557E-02
3.021364E-02	1.305267E-02
3.041716E-02	5.183880E-03
3.062067E-02	-2.783413E-03
3.082419E-02	-1.064587E-02
3.102771E-02	-1.818330E-02
3.123123E-02	-2.516839E-02
3.143474E-02	-3.137603E-02
3.163826E-02	-3.659422E-02
3.184178E-02	-4.063347E-02
3.204530E-02	-4.333636E-02
3.224881E-02	-4.458541E-02
3.245233E-02	-4.431137E-02
3.265585E-02	-4.249780E-02
3.285937E-02	-3.918574E-02
3.306288E-02	-3.447527E-02
3.326640E-02	-2.852467E-02
3.346992E-02	-2.154859E-02
3.367344E-02	-1.381103E-02
3.387695E-02	-5.618375E-03
3.408047E-02	2.690385E-03
3.428399E-02	1.075866E-02
3.448751E-02	1.822412E-02
3.469102E-02	2.473692E-02
3.489454E-02	2.997553E-02
3.509806E-02	3.366522E-02
3.530158E-02	3.559486E-02
3.550509E-02	3.563229E-02
3.570861E-02	3.373809E-02
3.591213E-02	2.997693E-02
3.611565E-02	2.452242E-02
3.631917E-02	1.765880E-02
3.652268E-02	9.774752E-03
3.672620E-02	1.351445E-03
3.692972E-02	-7.057864E-03
3.713324E-02	-1.485735E-02
3.733675E-02	-2.144352E-02
3.754027E-02	-2.624990E-02
3.774379E-02	-2.879806E-02
3.794731E-02	-2.875097E-02
3.815082E-02	-2.596861E-02
3.835434E-02	-2.055948E-02
3.855786E-02	-1.292114E-02
3.876138E-02	-3.766750E-03
3.896489E-02	5.876778E-03
3.916841E-02	1.472119E-02
3.937193E-02	2.130358E-02
3.957545E-02	2.417246E-02
3.977896E-02	2.215235E-02
3.998248E-02	1.474880E-02
4.018600E-02	2.697974E-03
4.038952E-02	-1.127104E-02
4.059303E-02	-2.144544E-02
4.079655E-02	-1.783260E-02
4.100007E-02	1.548909E-02
